category|item_Name|description|price
WHOLESOME OATS|Over - Night Coffee Oats|super charge your day with this caffeine breakfast|300
WHOLESOME OATS|Banana Nutty Oats|rich in nutriition - hint of banana sweetness and a satisfying crunch of nuts|300
EVERYTHING MATCHA|Rachel Green|hot matcha delight ,just like the one and only friend|245
EVERYTHING MATCHA|Green Queen|high-quality, Matcha green tea powder blended with coffee + choice of milk & syrup|295
EVERYTHING MATCHA|Matcha Green Milk|matcha green tea powder whisked and poured ove chilled milk with sweetner of your choice|200
EVERYTHING MATCHA|Matcha Frappe|Green tea powder + ice cubes + whip top|330
EVERYTHING MATCHA|Matcha-Gato|( vanilla/choc) 1 shot of matcha served with a scoop of ice cream|200
DQ EXCLUSIVES|Coffee in a Cone||250
DQ EXCLUSIVES|Mango In A Cone||330
DQ EXCLUSIVES|Milo In The Cone||300
